"","sexo","region","edad","yoprcor","s31_1","s31_2","s31_3","s31_4","s31_5","s31_6","s31_7","area","e6a","o15","s31"
"166",1,7,33,350000,0,0,0,0,0,0,1,1,9,5,7
"167",2,7,31,499691.966803432,0,0,0,0,0,0,1,1,9,5,7
"168",2,7,41,420000,0,0,0,0,0,0,1,1,11,5,7
"169",2,7,38,3e+05,0,0,0,0,0,0,1,1,9,7,7
"170",1,7,41,3e+05,0,0,0,0,0,0,1,1,13,2,7
"171",1,7,76,3e+05,0,0,0,0,0,0,1,1,6,2,7
"172",2,7,52,350000,0,0,0,0,0,0,1,1,9,5,7
"173",2,7,28,330000,0,0,0,0,0,0,1,1,12,3,7
"174",1,7,20,4e+05,0,0,0,0,0,0,1,1,9,5,7
"175",2,7,31,550000,0,0,0,0,0,0,1,1,13,5,7
"176",1,7,49,499691.966803432,0,0,1,0,0,0,0,1,9,5,3
"177",1,7,24,4e+05,0,0,0,0,0,0,1,1,9,5,7
"178",1,7,48,5e+05,0,0,0,0,0,0,1,1,7,5,7
"179",1,7,40,7e+05,0,0,0,0,0,0,1,1,13,5,7
"180",2,7,42,4e+05,0,0,0,0,0,0,1,1,12,2,7
"181",2,7,51,450000,0,0,0,0,0,0,1,1,12,1,7
"182",1,7,28,650000,0,0,0,0,0,0,1,1,13,1,7
"183",2,7,28,480000,0,0,0,0,0,0,1,1,13,1,7
"184",1,7,41,856716,0,0,0,0,0,0,1,1,13,5,7
"185",2,7,43,547215,0,0,0,0,0,0,1,1,13,5,7
"186",1,7,18,4e+05,0,0,0,0,0,0,1,1,9,5,7
"187",2,7,69,8e+05,0,0,0,0,0,0,1,1,12,4,7
"188",1,7,48,410000,0,0,0,0,0,0,1,1,9,5,7
"189",2,7,45,4e+05,0,0,0,0,0,0,1,1,9,5,7
"190",1,7,61,385000,0,0,0,0,0,0,1,1,9,2,7
"191",2,7,30,630000,0,0,0,0,0,0,1,1,12,3,7
"192",1,7,35,9e+05,0,0,0,0,0,0,1,1,12,5,7
"193",1,7,38,1600000,0,0,0,0,0,1,0,1,13,5,6
"194",2,7,35,750000,0,0,0,0,0,0,1,1,13,2,7
"195",2,7,57,350000,0,0,0,0,0,0,1,1,12,5,7
"196",1,7,51,350000,1,0,0,0,0,0,0,1,11,5,1
"197",1,7,17,80000,0,0,0,0,0,0,1,1,9,2,7
"198",2,7,53,1e+06,0,0,0,0,0,1,0,1,14,3,6
"199",1,7,68,499691.966803432,0,0,0,0,0,0,1,2,9,2,7
"200",2,7,55,6e+05,0,0,0,0,0,0,1,2,7,2,7
"201",2,7,45,30000,0,0,0,0,0,0,1,2,12,5,7
"202",1,7,55,3e+05,0,0,0,0,0,0,1,2,7,5,7
"203",1,7,39,3e+05,0,0,0,0,0,0,1,2,9,2,7
"204",1,7,58,750000,1,0,0,0,0,0,0,2,13,3,1
"205",1,7,42,5e+05,0,0,0,0,0,0,1,2,11,5,7
"206",2,7,28,320000,0,0,0,0,0,0,1,2,11,5,7
"207",1,7,59,4e+05,0,0,0,0,0,0,1,2,7,5,7
"208",2,7,42,4e+05,0,0,0,0,0,1,0,2,7,5,6
"209",1,7,39,7e+05,0,0,0,0,0,0,1,2,9,5,7
"210",1,7,72,50000,1,0,0,0,1,0,0,2,6,2,1
"211",2,7,62,1e+05,1,0,0,0,0,0,0,1,7,2,1
"212",2,7,23,380000,0,0,0,0,0,0,1,1,12,5,7
"213",1,7,29,6e+05,0,0,0,0,0,0,1,2,13,4,7
"214",2,7,25,5e+05,0,0,0,0,0,0,1,2,12,4,7
"215",2,7,66,150000,0,0,0,0,0,0,1,2,7,2,7
"216",1,7,20,403413,0,0,0,0,0,0,1,2,9,5,7
"217",1,7,24,450000,0,0,0,0,0,0,1,2,9,5,7
"218",1,7,65,80000,1,0,0,0,0,0,0,2,7,2,1
"219",1,7,46,9e+05,0,0,0,0,0,0,1,2,9,5,7
"220",2,7,44,9e+05,0,0,0,0,0,0,1,2,13,3,7
"221",2,7,21,499691.966803432,0,0,0,0,0,0,1,2,13,5,7
"222",1,7,37,6e+05,0,0,0,0,0,0,1,2,11,5,7
"223",1,7,30,605000,0,0,0,0,0,0,1,2,13,4,7
"224",1,7,25,4e+05,0,0,0,0,0,0,1,1,12,5,7
"225",1,7,36,4e+05,0,0,0,0,0,0,1,1,9,5,7
"226",1,7,65,385000,0,0,0,0,0,0,1,2,7,5,7
"227",1,7,51,385000,0,0,0,0,0,0,1,2,7,5,7
"228",2,7,37,650000,0,0,0,0,0,0,1,2,9,3,7
"229",1,7,42,499691.966803432,0,0,0,0,0,0,1,2,7,2,7
"230",2,7,32,3e+05,0,0,0,0,0,0,1,2,9,5,7
"231",1,7,34,250000,0,0,0,0,0,0,1,2,7,5,7
"232",1,7,46,150000,0,0,0,0,0,0,1,2,9,5,7
"233",1,7,20,5e+05,0,0,0,0,0,0,1,2,11,5,7
"234",1,7,35,350000,0,0,0,0,0,0,1,2,7,2,7
"235",1,7,57,5e+05,0,0,0,0,0,0,1,2,7,5,7
"236",1,7,31,5e+05,0,0,0,0,0,0,1,2,7,5,7
"237",1,7,35,350000,0,0,0,0,0,0,1,2,7,5,7
"238",1,7,59,250000,0,0,0,0,0,0,1,1,9,2,7
"239",1,7,29,4e+05,0,0,0,0,0,0,1,1,11,5,7
"240",1,7,61,4e+05,0,0,0,0,0,0,1,1,7,5,7
"241",1,7,37,320000,0,0,0,0,0,0,1,1,12,2,7
"242",2,7,31,4e+05,0,0,0,0,0,0,1,1,9,5,7
"243",1,7,34,4e+05,0,0,0,0,0,0,1,1,9,5,7
"244",2,7,32,4e+05,0,0,0,0,0,0,1,1,9,5,7
"245",1,7,27,4e+05,0,0,0,0,0,0,1,1,7,5,7
"246",1,7,48,6e+05,0,0,0,0,0,0,1,2,7,5,7
"247",1,7,22,410000,0,0,0,0,0,0,1,2,11,5,7
"248",1,7,33,380000,0,0,0,0,0,1,0,2,11,5,6
"249",1,7,23,7e+05,0,0,0,0,0,0,1,2,13,5,7
"250",2,7,27,7e+05,0,0,0,0,0,0,1,2,12,5,7
"251",1,7,72,4e+05,0,0,0,0,0,0,1,2,1,5,7
"252",2,7,31,4e+05,0,0,0,0,0,0,1,2,9,5,7
"253",2,7,61,4e+05,0,0,0,0,0,0,1,2,7,5,7
"254",1,7,66,2e+05,0,0,0,0,0,0,1,2,10,1,7
"255",2,7,70,250000,0,0,0,0,0,0,1,2,9,3,7
"256",2,7,44,50000,0,0,0,0,0,0,1,2,9,2,7
"257",1,7,70,4e+05,0,0,0,0,0,0,1,2,7,5,7
"258",2,7,63,4e+05,0,0,0,0,0,0,1,2,7,5,7
"259",2,7,50,540000,0,0,0,0,0,0,1,2,9,5,7
"260",1,7,45,1500000,0,0,0,0,0,0,1,1,13,5,7
"261",1,7,28,3e+06,0,0,0,0,0,0,1,1,13,5,7
"262",1,7,34,2e+06,0,0,0,0,0,0,1,1,13,5,7
"263",1,7,37,2e+06,0,0,0,0,0,0,1,1,13,3,7
"264",2,7,51,1200000,0,0,0,0,0,0,1,1,13,3,7
"265",2,7,36,2e+06,0,0,0,0,0,0,1,1,13,4,7
"266",2,7,32,8e+05,0,0,0,0,0,0,1,1,13,3,7
"267",1,7,47,550000,0,0,0,0,0,0,1,1,7,2,7
"268",1,7,35,5e+05,0,0,0,0,0,0,1,1,9,5,7
"269",1,7,40,420000,0,0,0,0,0,0,1,1,12,2,7
"270",1,7,49,250000,0,0,0,0,0,0,1,1,7,2,7
"271",1,7,21,180000,0,0,0,0,0,0,1,1,9,5,7
"272",1,7,33,2e+05,0,0,0,0,0,0,1,1,9,5,7
"273",1,7,25,4e+05,0,0,0,0,0,0,1,1,13,2,7
"274",2,7,50,4e+05,0,0,0,0,0,0,1,1,7,2,7
"275",1,7,49,850000,0,0,0,0,0,0,1,1,11,5,7
"276",1,7,28,7e+05,0,0,0,0,0,0,1,1,13,3,7
"277",1,7,60,350000,0,0,0,0,0,0,1,1,9,2,7
"278",2,7,32,943000,0,0,0,0,0,0,1,1,13,3,7
"279",1,7,66,1100000,0,0,0,0,0,0,1,1,11,5,7
"280",1,7,31,3e+05,0,0,0,0,0,0,1,1,12,5,7
"281",1,7,50,6e+05,0,0,0,0,0,0,1,1,11,3,7
"282",2,7,33,3e+05,0,0,0,0,0,0,1,1,13,5,7
"283",1,7,23,7e+05,0,0,0,0,0,0,1,1,9,5,7
"284",1,7,52,650000,1,0,0,0,0,0,0,1,9,5,1
"285",1,7,19,420000,0,0,0,0,0,0,1,1,13,5,7
"286",1,7,56,3e+05,0,0,0,0,0,0,1,1,7,2,7
"287",2,7,28,850360,0,0,0,0,0,0,1,1,13,5,7
"288",2,7,59,9e+05,1,0,0,0,0,0,0,1,13,5,1
"289",2,7,28,420000,0,0,0,0,0,0,1,1,13,5,7
"290",1,7,60,8e+05,0,0,0,0,0,0,1,1,9,5,7
"291",2,7,59,350000,0,0,0,0,0,0,1,1,7,5,7
"292",2,7,53,450000,0,0,0,0,0,0,1,1,7,5,7
"293",1,7,28,450000,0,0,0,0,0,0,1,1,11,5,7
"294",2,7,58,330000,1,0,0,0,0,0,0,1,9,7,1
"295",1,7,66,335340,0,0,0,0,0,0,1,1,7,2,7
"296",2,7,65,499691.966803432,1,0,0,0,0,0,0,1,7,2,1
"297",2,7,64,180000,1,0,0,0,0,0,0,1,7,7,1
"298",2,7,35,4e+05,0,0,0,0,0,0,1,1,9,5,7
"299",1,7,20,3e+05,0,0,0,0,0,0,1,1,11,2,7
"300",2,7,63,2e+05,0,0,0,0,0,0,1,1,7,2,7
"301",1,7,33,4e+05,0,0,0,0,0,0,1,1,7,5,7
"302",1,7,61,450000,0,0,0,0,0,0,1,1,10,2,7
"303",1,7,20,4e+05,0,0,0,0,0,0,1,1,11,5,7
"304",1,7,52,4e+05,0,0,0,0,0,0,1,1,11,5,7
"305",1,7,46,5e+05,0,0,0,0,0,0,1,1,9,5,7
"306",1,7,32,4e+05,0,0,0,0,0,0,1,1,9,5,7
"307",1,7,33,3e+05,0,0,0,0,0,0,1,1,7,2,7
"308",2,7,45,420000,0,0,0,0,0,0,1,1,7,5,7
"309",1,7,28,4e+05,0,0,0,0,0,0,1,1,7,5,7
