"","sexo","region","edad","yoprcor","s31c1","zona","e6a","o15","yoprcoripc"
"303",1,7,51,940000,7,1,15,3,1298158.82937917
"304",2,7,60,150000,7,1,11,5,207153.004688166
"305",1,7,26,245000,7,1,15,5,338349.907657338
"306",2,7,27,245000,7,1,15,5,338349.907657338
"307",1,7,40,3e+05,4,1,13,5,414306.009376332
"308",2,7,35,248000,7,1,14,5,342492.967751101
"309",1,7,41,2e+05,7,1,11,1,276204.006250888
"310",2,7,45,331682.693154403,1,1,9,5,458060.44326665
"311",1,7,58,1e+06,7,1,11,5,1381020.03125444
"312",2,7,30,350000,7,1,13,3,483357.010939054
"313",2,7,28,290000,7,1,13,5,400495.809063787
"314",2,7,52,3e+05,7,1,12,2,414306.009376332
"315",2,7,39,350000,7,1,11,5,483357.010939054
"316",2,7,43,380000,7,1,15,5,524787.611876687
"317",2,7,42,3e+05,7,1,9,5,414306.009376332
"318",2,7,18,80000,7,1,14,5,110481.602500355
"319",1,7,52,70000,7,1,11,5,96671.4021878108
"320",1,7,56,360000,7,1,14,5,497167.211251598
"321",2,7,57,360000,7,1,15,3,497167.211251598
"322",1,7,58,4e+05,7,1,14,5,552408.012501776
"323",1,7,32,4e+05,7,1,12,5,552408.012501776
"324",2,7,30,5e+05,7,1,15,3,690510.01562722
"325",2,7,75,50000,7,1,8,2,69051.001562722
"326",2,7,35,550000,7,1,9,5,759561.017189942
"327",1,7,36,450000,7,1,13,5,621459.014064498
"328",2,7,58,4e+05,7,1,13,1,552408.012501776
"329",2,7,25,250000,7,1,14,3,345255.00781361
"330",1,7,33,3e+05,7,1,15,5,414306.009376332
"331",1,7,53,350000,7,1,11,5,483357.010939054
"332",1,7,32,250000,7,1,11,5,345255.00781361
"333",1,7,55,560000,7,1,11,3,773371.217502486
"334",2,7,29,220000,7,1,11,7,303824.406875977
"335",1,7,32,331682.693154403,7,1,11,2,458060.44326665
"336",2,7,29,331682.693154403,7,1,11,2,458060.44326665
"337",2,7,47,570000,7,1,13,3,787181.41781503
"338",1,7,22,2e+05,7,1,14,5,276204.006250888
"339",1,7,43,450000,7,1,9,5,621459.014064498
"340",2,7,42,225000,3,1,9,5,310729.507032249
"341",1,7,33,260000,6,1,11,5,359065.208126154
"342",2,7,31,280000,7,1,11,3,386685.608751243
"343",2,7,49,3e+05,7,1,11,3,414306.009376332
"344",1,7,43,1e+06,7,1,15,5,1381020.03125444
"345",2,7,48,6e+05,7,1,15,5,828612.018752664
"346",1,7,45,5e+05,7,1,11,5,690510.01562722
"347",2,7,35,1e+05,7,1,13,2,138102.003125444
"348",2,7,46,247000,7,1,9,5,341111.947719847
"349",2,7,46,240000,7,1,9,5,331444.807501065
"350",2,7,28,270000,7,1,9,3,372875.408438699
"351",2,7,45,3e+05,7,1,13,2,414306.009376332
"352",1,7,25,245000,7,1,11,5,338349.907657338
"353",2,7,61,320000,7,1,15,3,441926.410001421
"354",1,7,56,245000,7,1,7,4,338349.907657338
"355",2,7,54,189939,7,1,11,5,262309.563716437
"356",2,7,33,4e+05,7,1,11,5,552408.012501776
"357",1,7,40,4e+05,7,1,11,3,552408.012501776
"358",1,7,23,350000,7,1,12,5,483357.010939054
"359",2,7,60,7e+05,1,1,16,3,966714.021878108
"360",1,7,43,335000,7,1,9,3,462641.710470237
"361",2,7,50,4e+05,7,1,15,3,552408.012501776
"362",1,7,23,240000,7,1,14,5,331444.807501065
"363",2,7,36,198000,7,1,11,3,273441.966188379
"364",1,7,55,370000,7,1,9,5,510977.411564143
"365",2,7,56,50000,7,1,7,7,69051.001562722
"366",2,7,52,50000,7,1,7,2,69051.001562722
"367",2,7,49,4e+05,7,1,11,2,552408.012501776
"368",1,7,51,7e+05,7,1,9,3,966714.021878108
"369",1,7,51,1500000,7,1,15,2,2071530.04688166
"370",2,7,42,1500000,7,1,15,2,2071530.04688166
"371",1,7,36,350000,5,1,9,5,483357.010939054
"372",2,7,56,255000,7,1,9,5,352160.107969882
"373",1,7,64,270000,7,1,6,5,372875.408438699
"374",1,7,47,8e+05,7,1,9,8,1104816.02500355
"375",2,7,63,7e+05,7,1,15,4,966714.021878108
"376",1,7,37,5e+05,7,1,15,5,690510.01562722
"377",2,7,25,640000,7,1,15,4,883852.820002841
"378",1,7,36,6e+05,7,1,11,5,828612.018752664
"379",2,7,31,245000,7,1,11,5,338349.907657338
"380",2,7,45,120000,7,1,9,5,165722.403750533
"381",2,7,55,245000,7,1,9,7,338349.907657338
"382",2,7,74,130000,7,1,6,2,179532.604063077
"383",1,7,48,40000,1,1,7,5,55240.8012501776
"384",1,7,60,400800,7,1,9,3,553512.828526779
"385",2,7,68,250000,7,1,1,3,345255.00781361
"386",2,7,48,3e+05,7,1,11,7,414306.009376332
"387",2,7,64,245000,7,1,8,4,338349.907657338
"388",1,7,42,5e+05,7,1,15,5,690510.01562722
"389",1,7,38,245000,2,1,11,5,338349.907657338
"390",2,7,69,331682.693154403,7,1,8,2,458060.44326665
"391",1,7,40,25000,6,1,7,2,34525.500781361
"392",1,7,64,250000,7,1,7,2,345255.00781361
"393",2,7,28,430000,7,1,15,5,593838.613439409
"394",1,7,33,1e+06,7,1,15,3,1381020.03125444
"395",1,7,36,1e+06,7,1,15,5,1381020.03125444
