"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"198",1,7,21,1800000,7,1,9,2,2366806.43852293
"199",1,7,18,4e+05,7,1,9,2,525956.986338428
"200",2,7,57,122000,1,1,9,2,160416.880833221
"201",2,7,30,270000,6,1,14,5,355020.965778439
"202",1,7,28,270000,7,1,14,5,355020.965778439
"203",1,7,26,294894,7,1,14,5,387753.898823211
"204",1,7,22,2e+05,7,1,14,5,262978.493169214
"205",2,7,40,270000,7,1,14,5,355020.965778439
"206",1,7,66,283000,7,1,6,3,372114.567834438
"207",1,7,59,320000,7,1,9,5,420765.589070742
"208",2,7,59,70000,1,1,7,2,92042.4726092249
"209",2,7,67,60000,7,1,7,5,78893.5479507642
"210",2,7,27,2e+05,7,1,12,5,262978.493169214
"211",1,7,25,250000,7,1,14,5,328723.116461518
"212",1,7,24,15000,2,1,9,2,19723.3869876911
"213",2,7,48,50000,7,1,11,2,65744.6232923035
"214",2,7,29,340000,7,1,13,3,447063.438387664
"215",2,7,19,117000,7,1,9,5,153842.41850399
"216",2,7,27,7e+05,7,1,9,5,920424.726092249
"217",2,7,41,8e+05,7,1,15,5,1051913.97267686
"218",2,7,24,3e+05,7,1,11,3,394467.739753821
"219",1,7,40,5e+05,7,1,11,5,657446.232923035
"220",2,7,50,290000,7,1,13,5,381318.81509536
"221",1,7,32,5e+05,7,1,12,2,657446.232923035
"222",1,7,76,270000,7,1,9,5,355020.965778439
"223",2,7,62,3e+05,2,1,9,7,394467.739753821
"224",2,7,24,240000,7,1,12,5,315574.191803057
"225",1,7,56,4e+05,7,1,13,5,525956.986338428
"226",2,7,48,3e+05,7,1,12,3,394467.739753821
"227",1,7,56,6e+05,7,1,9,5,788935.479507642
"228",2,7,55,450000,7,1,9,5,591701.609630732
"229",1,7,54,381237.006102589,3,1,11,5,501285.667026007
"230",2,7,50,90000,6,1,13,2,118340.321926146
"231",1,7,52,1.5e+07,7,1,13,1,19723386.9876911
"232",2,7,51,7e+05,7,1,13,2,920424.726092249
"233",2,7,26,750000,7,1,15,5,986169.349384553
"234",1,7,59,735000,2,1,15,5,966445.962396862
"235",2,7,54,4e+05,7,1,13,3,525956.986338428
"236",1,7,50,1200000,7,1,15,5,1577870.95901528
"237",2,7,54,90000,7,1,13,3,118340.321926146
"238",1,7,58,1e+06,7,1,15,5,1314892.46584607
"239",1,7,61,328000,1,1,11,5,431284.728797511
"240",2,7,61,3e+05,1,1,14,3,394467.739753821
"241",2,7,54,6e+05,7,1,15,5,788935.479507642
"242",1,7,65,4e+05,7,1,9,5,525956.986338428
"243",1,7,61,1800000,7,1,9,5,2366806.43852293
"244",1,7,66,1200000,7,1,15,4,1577870.95901528
"245",1,7,41,6e+05,7,1,13,5,788935.479507642
"246",2,7,50,591518,7,1,14,5,777782.561612336
"247",2,7,61,4e+05,7,1,11,5,525956.986338428
"248",1,7,28,7e+05,7,1,15,4,920424.726092249
"249",1,7,77,1.5e+07,7,1,14,1,19723386.9876911
"250",1,7,73,270000,5,1,8,5,355020.965778439
"251",1,7,62,1e+06,7,1,13,5,1314892.46584607
